date,sentence,col3
2021-12-31,宝钢股份最新公告：拟推第三期A股限制性股票计划,证券之星
2021-12-31,宝钢股份(600019.SH)已累计回购约4.86亿股 耗资近36亿元,智通财经
2021-12-31,宝钢股份(600019.SH)拟推不超5亿股第三期A股限制性股票计划,智通财经
2021-12-31,宝钢股份：拟授予限制性股票总量不超过5亿股，授予价格每股4.29元,Wind
2021-12-31,宝钢股份(600019.SH)：截至12月底已累计回购2.18%股份,格隆汇
2021-12-31,华联股份：公司暂无重组计划,Wind
2021-12-31,螺纹钢商品报价动态（2021-12-31）,生意社
2021-12-31,12月31日上海钢材市场冷轧板卷价格行情,全球金属网
2021-12-31,中国搞定2200兆帕特种钢，一举打破美日垄断地位，终于变成师父,腾讯网
2021-12-31,年报成绩单陆续出炉，20家公司净利润预增超100%,Wind
2021-12-30,12月30日上海钢材市场冷轧板卷价格行情,全球金属网
2021-12-30,宝钢股份9ni钢连浇创国内新纪录,钢企网
2021-12-30,元素周期表成2021年A股投资地图,Wind
2021-12-29,浙商证券：粗钢控产逻辑有望在2022年兑现 钢铁板块盈利回升,证券时报网
2021-12-29,世界首套！宝钢湛江100万吨级氢基竖炉工程开工,长江有色
2021-12-29,12月29日上海钢材市场冷轧板卷价格行情,全球金属网
2021-12-28,武钢一四烧结节能改造工程开工,我的钢铁
2021-12-28,12月28日上海钢材市场冷轧板卷价格行情,全球金属网
2021-12-28,上汽乘用车与宝钢股份成立先进汽车用材联合创新实验室－国务院国有资产监督管理委员会,国资委
2021-12-27,12月27日上海钢材市场冷轧板卷价格行情,全球金属网
2021-12-27,里程碑！长航集团干散货年运量迈入亿吨时代,国际船舶
2021-12-24,12月24日上海钢材市场冷轧板卷价格行情,全球金属网
2021-12-24,宝钢彩涂板实现完全无铬化,兰格钢铁网
2021-12-23,往日亦师亦友如今对簿公堂 宝钢缘何遭日本制铁11亿索赔 诉讼纠纷,第一财经
2021-12-23,2021中国钢铁企业专利创新指数发布 宝钢连续4年第一,科技日报
2021-12-23,12月23日上海钢材市场冷轧板卷价格行情,全球金属网
2021-12-22,12月22日上海钢材市场冷轧板卷价格行情,全球金属网
2021-12-22,美欧日有紧迫感，上海公里级超导电缆感谢海外“不卖之恩”，今创五项世界纪录,新浪
2021-12-22,透视超2000条环境数据、涉及超700家上市公司，A股上市公司环境风险报告（2020-2021）出炉,每经头条
2021-12-22,闻讯丨中国股市十大扩张板块公布！钢铁、化工、有色…均在列！股期联动，展望2022，哪些大宗商品可能具备投资级机会？,华闻期货
2021-12-22,GDP总量相近，湖北武汉央企多，浙江杭州超级富豪多，四川成都呢,搜狐
2021-12-21,宝钢股份大宗交易成交1623.16万元,证券时报网
2021-12-21,投资41亿！10万吨负极材料项目正式开工,Ofweek
2021-12-21,重庆钢铁最新公告：拟与宝钢资源组建合资公司 将在马迹山开展铁矿石混匀加工业务,证券之星
2021-12-21,宝钢股份(600019.SH)：拟调整智慧制造推进组织体制 成立大数据与智慧化部,格隆汇
2021-12-21,宝武碳业41亿元押注负极材料,高工锂电
2021-12-21,12月21日上海钢材市场冷轧板卷价格行情,全球金属网
2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
2021-12-20,12月10大钢铁项目投产、复产,北极星节能
