date,sentence,col3
2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
2021-12-31,中航光电于上海成立新公司,TechWeb
2021-12-31,中航光电、振华科技、高德红外……谁将能成长能力最强的军工电子企业？,Ofweek
2021-12-28,中航光电与中国北方车辆研究所签订战略合作协议,Wind
2021-12-28,中航光电与中国北方车辆研究所签订战略合作协议,e公司
2021-12-27,中航光电(002179.SZ)1019.19万股限制性股票可解锁,智通财经
2021-12-27,中航光电(002179.SZ)：1019.185万股限制性股票可解锁,格隆汇
2021-12-24,河南区域股市周报：板块总市值降至第14名 双汇发展跌出板块市值3强,每日经济新闻
2021-12-24,中航光电：首个境外子公司在德国法兰克福正式成立,e公司
2021-12-14,国资国企改革进入关键阶段，“大央企小平台”资本运作有望提速,Wind
2021-12-13,中航光电：公司与华为有车用高压连接器产品合作,财联社
2021-12-09,中航光电：在集中式储能和分布式储能领域均已开发相关产品,财联社
2021-12-08,中航光电(002179.SZ)：河南投资集团拟参与转融通证券出借业务 出借股数不超1099.94万股,格隆汇
2021-12-07,600万手封盘，“汉阳兵工厂”来A股了，抢筹资金两倍市值，北上资金扫货的军工股出炉！央行下调这两类再贷款利率,中国基金报
2021-12-04,天风2022年度策略·军工｜2022年新建产能将进入集中爬坡\达产期,天风研究
2021-12-02,筹码连续集中股名单（附股）,证券时报网
2021-12-01,三季度业绩大增股价却持续走低 京东方被面板价格下行“阴霾”缠绕,投资者网
2021-11-29,中信建投证券：2022看好军工全产业链,财经网
2021-11-29,国防军工行业周报：跨年估值切换行情有望持续 军工主流标的蓝筹化大势所趋,新浪
2021-11-28,国防军工行业周报：景气供需共振 关注军工电子、航发,广发证券
2021-11-28,国防军工行业周报：上游订货周期有望呈现 元器件最为直接,新浪
2021-11-27,中航光电华南产业基地在广州番禺动工预计年产值达55亿元,经济日报
2021-11-27,中航光电科技股份有限公司 关于非公开发行股票申请 获得中国证监会核准批文的公告,中证报
2021-11-26,中航光电：证监会核准公司非公开发行新股不超过约3.23亿股,每日经济新闻
2021-11-26,中航光电：非公开发行股票申请获得中国证监会核准批文,Wind
2021-11-26,中航光电华南产业基地项目广州动工 年产值将达55亿元,中新网
2021-11-25,中航光电(002179.SZ)取得不动产权证书,智通财经
2021-11-24,2021Q3公募基金军工股持仓分析： 业绩兑现带动配置提升，景气如期增配空间显著,国防军工参考
2021-11-23,关于核准中航光电科技股份有限公司非公开发行股票的批复,证监会
2021-11-22,A股早报2021年11月22日星期一,Wind
2021-11-21,国防军工行业：“供需共振”、“产能”、“空间” 景气稳增,广发证券
2021-11-19,国防军工行业周报：成长下的军工中枢向上 不断的布局机会,新浪
2021-11-17,有哪些“显山不露水”的军工基金？,养基司令
2021-11-16,军工行业2022年年度策略：“十四五”需求里程碑式兑现 聚焦基本面把握结构性机会,新浪
2021-11-16,国君军工 | 军工持仓创新高，航空航天最受关注,国泰君安证券研究
2021-11-16,北交所首批81家公司全扫描,Wind
2021-11-15,军工基金优选：基于重仓股预期收益率,新浪
2021-11-15,两家企业登陆北交所，带给陕西什么？,每日经济新闻
