date,sentence,col3
2021-12-31,钠离子电池将进入量产时代，锂电池会被取代吗？,华夏时报
2021-12-31,A股光伏治沙绝对龙头，联手三峡能源，建200万千瓦项目，股价5元,搜狐
2021-12-31,金风科技(002202.SZ)股东三峡能源减持5323.50万股 减持期限已届满 减持股份,智通财经
2021-12-31,金风科技：股东三峡能源累计减持1.26%股份 减持股份,Wind
2021-12-31,金风科技(02208)：减持计划期限届满 三峡能源合共减持5323.5万股,智通财经
2021-12-31,金风科技(02208.HK)：三峡能源累计减持5323万股 减持期限已届满 减持股份,格隆汇
2021-12-31,阳光电源：公司风电变流器市占率在国内处于行业领先水平,每日经济新闻
2021-12-31,"三峡能源现1笔大宗交易 共成交1,346.00万元",新浪
2021-12-31,三峡能源今日大宗交易成交200万股，成交价6.73元折价10.39%,Wind
2021-12-31,北向资金动向盘点：多点开花，平均推进,Wind
2021-12-31,北向资金扫货A股81亿元 增持银行减持电力（个股名单） 减持股份,21世纪经济报道
2021-12-30,三峡集团首个独立储能电站首期项目成功并网,Wind
2021-12-30,2021龙虎榜百强营业部出炉！稳居第一的又是它,Wind
2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
2021-12-30,今年A股IPO数量创历史新高，超两成上市公司实现超募！,Wind
2021-12-30,三峡乌兰察布新一代电网友好绿色电站成功并网试运行,Wind
2021-12-30,A股融资融券日报：两融余额减少8.94亿元（12月29日）,Wind
2021-12-30,【三峡乌兰察布新一代电网友好绿色电站示范项目首批机组成功并网试运行】财联社12月30日电，昨日上午，由中国三峡新能源（集团）股份有限公司投资的三峡乌兰察布新一代电网友好绿色电站示范项目首批机组成功并,财联社
2021-12-30,回望2021IPO！最强新股首日暴涨19倍,Wind
2021-12-29,三峡能源：三峡乌兰察布新一代电网友好绿色电站示范项目首批机组成功并网试运行,证券时报网
2021-12-29,A股年末“瘦身”大作战，有公司以“子”抵债，有公司忙甩卖,搜狐
2021-12-29,255万亿元！A股年成交金额创纪录！成交金额最大的股竟是它,北京商报
2021-12-29,新能源运营商成长性凸显 建议关注三峡能源(600905.SH)等,智通财经
2021-12-29,A股融资融券日报：两融余额增加34.59亿元（12月28日）,Wind
2021-12-28,电力股大幅调整 32亿主力出逃 机构：持续看好低碳绿电板块,第一财经
2021-12-28,三峡能源、中国广核、中国核电，谁是盈利能力最强的新能源发电企业？,Ofweek
2021-12-28,破发愈演愈烈，“三高”发行何时休？,Wind
2021-12-28,明阳智能：拟向三峡能源转让阳江明阳全部股权,资本邦
2021-12-28,时隔8月再易主，明阳沙扒300MW海风项目终落三峡能源,中国能源网china5e
2021-12-28,龙虎榜机构抢筹股曝光，两大资金同时买入这些股,Wind
2021-12-28,公用事业事件点评：新版“两个细则”出台 辅助服务市场化加速,国海证券
2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
2021-12-28,全年IPO超500家，哪些券商投行“赚嗨”了？,Wind
2021-12-27,晚间重要公告2021年12月27日星期一,Wind
2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
2021-12-27,明阳智能：拟17.57亿元向三峡能源转让子公司100%股权,财联社
2021-12-27,最新融资客与北上资金重点加仓名单,Wind
2021-12-27,三峡能源VS太阳能～三峡能源的实力确实不可小觑,深水财经社
2021-12-27,三峡能源VS特变电工～三峡跟其他企业比还是不错的,深水财经社
2021-12-27,三峡能源VS长江电力～三峡虽强但是在行业大佬面前差多了,深水财经社
2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
2021-12-27,A股早报2021年12月27日星期一,Wind
2021-12-27,2021年最后一批新股申购，这只备受关注,Wind
2021-12-27,三峡能源等4股获融资净买入超亿元,第一财经
2021-12-25,海锅股份：三峡能源，中广核新能源不是公司直接客户,每日经济新闻
