date,sentence,col3
2021-12-31,建行广州分行服务专业市场，畅通金融“活水”,信息时报
2021-12-31,光启技术提名李华峰担任独董候选人,乐居财经
2021-12-31,数字金融周报|央行要求通过直播渠道营销金融产品需有资质,WEMONEY研究室
2021-12-31,2021年十大牛股和熊股出炉，最牛股大涨566%,Wind
2021-12-31,2.9亿元！ 伍家城投老旧小区改造贷款获批,搜狐
2021-12-31,奥哲荣获中国软件网「2021中国金融科技低代码厂商状元奖」,凤凰网
2021-12-31,南山控股累计实际发生对外担保总额224.59亿元 占净资产236.75% 大额借贷担保,观点地产网
2021-12-31,建行重庆市分行：志在立新功 凝聚磅礴奋进的建行力量,凤凰网
2021-12-31,中国邮储银行、中国建设银行发布重要公告！,每日经济新闻
2021-12-31,中国建设银行佛山市分行普惠金融助力企业高质量发展,搜狐
2021-12-31,建行以消费帮扶助力乡村振兴,中国金融新闻网
2021-12-31,金蝶(00268)签约建信金融科技，助力构建中国建设银行智能财务新系统,智通财经
2021-12-31,中毅达子公司申请2.5亿元授信额度暨关联交易,电鳗快报
2021-12-31,银行业持续为“三农”输送金融“活水”,中国金融新闻网
2021-12-31,建设银行“善担贷”为湖北小微经济体投放贷款超10亿元,新华网
2021-12-31,铁打的银行流动的高管，“年轻时代”走上C位,Wind
2021-12-31,2022年绿债或将跳跃式发展，国际化步伐加快,Wind
2021-12-31,21家银行勠力14万亿绿色信贷，7家头部银行占比超七成,Wind
2021-12-31,21家银行勠力14万亿绿色信贷 7家头部银行占比超七成,21世纪经济报道
2021-12-30,银行APP掀起“瘦身”潮！,中国银行保险报
2021-12-30,中国建设银行最新公告：12月31日下午16：30起自营实物贵金属业务停止交易，2022年1月2日恢复正常,金融界
2021-12-30,建行济宁分行济宁交通医院“智慧银医通”项目成功上线,搜狐
2021-12-30,第二轮合肥消费券明日发放：资金 1200 万元,IT之家
2021-12-30,建行合肥城东支行成功落地省交控集团10亿元信托融资项目,搜狐
2021-12-30,速看！中国建设银行、中国工商银行发布最新公告！,每日经济新闻
2021-12-30,建行广州荔湾支行: 科技赋能，打造老城普惠金融发展新引擎,新快报
2021-12-30,建行发布实物贵金属业务2022年元旦节假日期间交易安排公告,Wind
2021-12-30,建设银行：2021年12月31日（周五）下午16:30起，自营实物贵金属业务（含“易存金”）停止交易,金十数据
