date,sentence,col3
2021-12-31,行业观察|半岛超声炮大火 医美设备厂商国产替代空间广阔,财联社
2021-12-31,复星医药：董事会会议审议通过关于受让重庆复创医药研究有限公司23.9992%股权的议案,Wind
2021-12-31,复星医药产业拟出资1.41亿美元增持重庆复创24%股权,乐居财经
2021-12-31,复星医药(600196.SH)：子公司拟以1.41亿美元受让重庆复创23.9992%股权,格隆汇
2021-12-31,复星医药(600196.SH)子公司拟1.41亿美元受让小分子靶向药物企业重庆复创24%股权,智通财经
2021-12-31,复星医药5500万打水漂 终止引进的SGLT-2抑制剂开发,新浪
2021-12-30,复星医药2196｜1.41亿美元增持新药研究业务 | 头条金融网,头条日报
2021-12-30,每日理财观察：年终奖等个税优惠政策顺延两年,Wind
2021-12-29,复锐医疗科技(01696)控股股东购买14.16万股公司股份,智通财经
2021-12-29,开拓药业产品研发遇挫，另一家合作公司默默“中枪”,国际金融报
2021-12-29,新浪医药年度盘点丨合久必分？2021医药行业十大拆分剥离动态 有人为“升级” 有人为“保命”,新浪
2021-12-29,复星医药(02196)：“18复药03”注销未转售债券金额9.91亿元,智通财经
2021-12-29,复星医药(02196)：2021年度内董事变动后公司治理结构符合法律规定,智通财经
2021-12-29,恒指收跌0.83%，恒生科技指数创历史低位,Wind
2021-12-29,上海复星医药集团：公司董事发生变动 董监高成员变化,Wind
2021-12-29,上海复星医药集团：“18复药03”完成转售,Wind
2021-12-29,新冠“神药”临床结果未达预期，开拓药业否认失败，国内还有5款口服药在研,新浪
2021-12-29,港股异动 | 复星医药跌5% 子公司终止万格列净片药品临床试验及后续开发,格隆汇
2021-12-29,【港股通】复星医药(02196)跌逾4% 子公司终止药品临床试验,和讯
2021-12-28,复星医药：本集团实际为复星健康担保金额为6.8亿元,每日经济新闻
2021-12-28,开拓药业暴跌70%，中期分析不理想的新冠口服药走向何方？,澎湃新闻
2021-12-28,复星医药：订立增资协议,Wind
2021-12-28,晚间重要公告2021年12月28日星期二,Wind
2021-12-28,复星医药(02196)：宁波复瀛拟出资1000万元参与设立私募股权投资基金,智通财经
2021-12-28,复星医药(02196.HK)拟为复星健康不超3亿元授信额度项下债务提供担保 大额借贷担保,格隆汇
2021-12-28,复星医药(02196)：复星健康按持股比例向上海卓瑞增资1020万元,智通财经
2021-12-28,复星医药(02196.HK)：上海卓瑞注册资本增至8700万元,格隆汇
2021-12-28,一周七天连轴干 手术机器人在这个科室火了 已有国产品牌能与进口产品一较高下,财联社
2021-12-28,复星医药(600196.SH)：子公司拟出资1000万元参设目标基金,格隆汇
2021-12-28,复星医药(600196.SH)：子公司江苏万邦拟终止万格列净片的临床试验及后续开发,格隆汇
2021-12-28,复星医药(600196.SH)：子公司及关联方拟合计对上海卓瑞增资2000万元,格隆汇
2021-12-28,复星医药：控股子公司终止万格列净片药品临床试验,Wind
2021-12-27,复星医药(600196.SH)拟参与设立私募股权投资基金,智通财经
2021-12-27,第七批国采规则或将调整；康希诺重组新冠疫苗最新进展；迈威生物计划科创板上市,GBIHealth
2021-12-24,国内创新药企业正迎来密集收获期！,--
2021-12-23,复星医药：控股子公司与甫康药业签订马来酸奈拉替尼片大中华区独家商业化合作协议,e公司
2021-12-23,复星医药(02196)：复宏汉霖(02696)拟为汉霖医药不超12.53亿元贷款提供担保 大额借贷担保,智通财经
2021-12-23,复星医药：本集团实际对外担保金额约合人民币206.14亿元 大额借贷担保,每日经济新闻
2021-12-23,上市公司环境责任信息披露有哪些变化？,中国环境报
2021-12-22,中山公用：目前未收到公司大股东或管理层人员计划购买复星集团减持部分股份的相关信息,每日经济新闻
2021-12-22,复星医药：公司经营一切正常,每日经济新闻
2021-12-21,复星医药发生大宗交易 成交折价率10.35%,证券时报网
2021-12-21,复星医药今日大宗交易成交7.10万股，成交价44.78元折价10.35%,Wind
2021-12-21,药企们为什么都在拆分？,虎嗅网
2021-12-21,复锐医疗科技 | 领先技术能量源龙头，构建美丽新生态,医药研选
2021-12-20,复星医药(02196.HK)子公司通过GMP符合性检查,格隆汇
2021-12-20,复星医药(02196.HK)子公司斯鲁利单抗注射液联合重组抗EGFR人源化单克隆抗体注射液用于治疗晚期实体瘤开展II期临床试验获批准,格隆汇
2021-12-20,复星医药(02196)：湖南洞庭药业通过GMP符合性检查,智通财经
2021-12-20,复星医药(600196.SH)：斯鲁利单抗注射液、重组抗EGFR人源化单克隆抗体注射液获药品临床试验批准,格隆汇
2021-12-20,复星医药(600196.SH)：斯鲁利单抗注射液联合HLX07治疗晚期实体瘤获准开展II期试验,智通财经
2021-12-20,复星医药(600196.SH)子公司二车间硬胶囊生产线通过GMP符合性检查,智通财经
2021-12-20,复星医药：子公司获药品临床试验批准,财联社
2021-12-20,抢占科创高地，面向全球招才引智!复星亮相首届全国博士后创新创业大赛,大众证券报
2021-12-19,宣告破产！亚洲著名民营肿瘤医院负债3100多万 减资破产,器械之家
2021-12-19,经营不善，知名肿瘤医院被宣告破产！ 减资破产,爱爱医
2021-12-18,PE巨头TPG申请IPO上市：摩根大通、高盛等23家投行券商组团助阵,Wind
2021-12-16,【港股通】复星医药(02196)为子公司金额4.0亿元贷款提供担保 大额借贷担保,和讯
2021-12-16,复星医药(02196)拟为附属公司贷款提供担保 大额借贷担保,智通财经
2021-12-16,复星医药拟为徐州复星医药提供不超过4亿元贷款担保 大额借贷担保,乐居财经
2021-12-16,复星医药：截至2021年12月15日，本集团实际对外担保金额按2021年12月15日汇率折合人民币约201.2亿元 大额借贷担保,每日经济新闻
2021-12-16,复星医药：拟为子公司提供不超过4亿元连带责任保证担保,Wind
2021-12-15,国内三地发现奥密克戎！国产疫苗中和试验结果密集出炉，有多少能应对新毒株？,21世纪经济报道
2021-12-15,国内三地发现奥密克戎！国产疫苗中和试验结果密集出炉，有多少能应对新毒株？,21经济网
2021-12-14,复星集团持有青岛啤酒4年减持套现114亿港元，浮盈22亿港元 减持股份,中证报
2021-12-14,【港股通】青岛啤酒(00168)遭复星集团减持3800万股H股 股价倒升3.33% 减持股份,和讯
2021-12-14,年内被复星系三度减持背后：青岛啤酒季度营收从增长到下滑的尴尬 减持股份,电鳗快报
2021-12-14,医美板块再度活跃，鲁商发展率先涨停,Wind
2021-12-14,【港股通】复星医药(02196)涨近3% 料mRNA新冠疫苗对奥密克戎仍有明显预防作用,和讯
2021-12-13,青岛啤酒：复星集团减持公司H股3800万股，占总股本约2.78% 减持股份,资本邦
2021-12-13,青岛啤酒股份(00168)获股东复星集团旗下两家实体合计减持3800万股H股 减持股份,智通财经
2021-12-13,复星集团旗下两家实体减持青岛啤酒2.78%H股股份 减持股份,乐居财经
2021-12-13,青岛啤酒(600600.SH)股东复星集团旗下两家实体减持3800万股公司H股股份 减持股份,智通财经
2021-12-13,青岛啤酒：复星集团旗下两家实体12月9日减持公司H股3800万股 减持股份,Wind
2021-12-12,医药周报｜绿鞋护盘 百济神州会破发吗；阿斯利康用于新冠肺炎暴露前预防药物将很快上市,钢企网
2021-12-11,药企加码布局创新药赛道,Wind
2021-12-10,A股早报2021年12月10日星期五,Wind
2021-12-10,智通港股早知道 | (12月10日)央行上调外汇存准率2个百分点 11月各类挖掘机销量同比下降36.6%,智通财经
2021-12-09,智通港股公告精选︱(12.9)固生堂、凯莱英及北海康成明天上市 腾盛博药治疗新冠肺炎中和抗体联合疗法获批上市,智通财经
2021-12-09,BioNTech公布最新实验数据，三针mRNA新冠疫苗BNT162b2可有效中和奥密克戎变异病毒,医麦客News
2021-12-09,复星医药(02196)：拟对天津星耀进行减资 减资破产,智通财经
2021-12-09,复星医药(02196)拟为复星健康不超过1.5亿元贷款提供担保 大额借贷担保,智通财经
2021-12-09,复星医药：集团实际对外担保金额折合人民币约197.02亿元 大额借贷担保,每日经济新闻
2021-12-09,复星医药(600196.SH)：复星医药产业拟以400万元受让星创健康科技87%股权,格隆汇
2021-12-09,复星医药：对所投资有限合伙企业减资暨关联交易 减资破产,Wind
2021-12-09,复星医药(600196.SH)及相关方拟对天津星耀同比例减资500万元 减资破产,格隆汇
2021-12-09,复星医药：拟为控股子公司复星健康担保1.5亿元,Wind
2021-12-09,复星医药(600196.SH)：子公司拟以2870万美元受让FMH45%股权,格隆汇
2021-12-09,复星医药：复星医药产业拟现金出资400万元受让复星高科技持有的星创健康科技87%的股权,Wind
2021-12-09,复星医药：复星实业拟现金出资2870万美元受让Windgothenburg持有的FMH45%的股权,Wind
2021-12-09,港股异动 | 复星医药(02196)午后涨超5% 宣布将与Biontech研发针对奥密克戎毒株的疫苗,智通财经
2021-12-09,【异动股】复星医药(02196.HK)涨4.38%,财华社
2021-12-09,“毒”性到底强不强？实验数据不断出炉，奥密克戎“精准画像”开始浮现,21世纪经济报道
2021-12-08,复星医药参股成立企业管理合伙企业，注册资本1000万元,乐居财经
2021-12-08,企业服务领域投融资日报（12月9日）：星创健康科技被复星医药并购,亿欧网
2021-12-08,复星医药持有亚能生物技术股份降至20%,乐居财经
2021-12-08,复星医药：复星诊断提供的三靶标高灵敏核酸检测方案，可覆盖新冠病毒变异株的检测,每日经济新闻
2021-12-07,复星医药(02196)委任王可心及关晓晖为执行董事,智通财经
2021-12-07,复星医药：王可心及关晓晖获正式选举为第八届董事会执行董事,Wind
2021-12-07,复星医药：股东大会通过关于延长与上海复宏汉霖科创板上市有关授权有效期及更换授权人士的议案,Wind
2021-12-07,医美行业深度报告：行业上游医美器械制造商门槛高 竞争格局好,新浪
2021-12-07,港股生物医药板块走高 复星医药涨近3%,财联社
2021-12-07,“上海首富”郭广昌转身,斑马消费
2021-12-07,港股投资日历：商汤-W启动招股,Wind
2021-12-06,医药行业周报：医保谈判结果出炉 持续鼓励创新,新浪
2021-12-06,复星医药跌3.49% 中泰证券中信证券8月下旬喊买入,中国经济网
2021-12-06,先行先试、协同创新，国内疫苗企业聚力湾区重构产业新生态,21世纪经济报道
2021-12-06,医药行业一周观察：医保谈判落地 国产创新药收获颇丰,新浪
2021-12-06,复星医药回爱民：现有疫苗对奥密克戎到底是否有效仍待观察,21世纪经济报道
2021-12-05,医药行业周报：医保谈判尘埃落地 看好本土创新发力,新浪
2021-12-05,复星医药位列第一！ESG500强医药生物行业榜单发布,新浪
2021-12-04,复星医药回爱民：新冠病毒有一些变异未必能改变对疫苗的反应,澎湃新闻网
2021-12-03,复星医药(02196)：汉贝泰?用于转移性结直肠癌、非小细胞肺癌治疗获上市注册批准,智通财经
2021-12-03,复星医药：控股子公司获药品注册批准,Wind
2021-12-03,复星医药(600196.SH)：用于转移性结直肠癌及晚期、转移性或复发性非小细胞肺癌治疗的汉贝泰?获批上市,格隆汇
2021-12-03,复星医药最新公告：贝伐珠单抗注射液获药品注册批准,证券之星
2021-12-03,复星医药：贝伐珠单抗注射液获药品注册批准,财联社
2021-12-03,中山公用：公司暂未收到大股东中汇集团意向购买复星集团计划减持的公司股份的相关消息,每日经济新闻
2021-12-03,华润三九(000999)：员工股权激励方案终出台 建立长效激励机制 彰显公司发展信心,新浪
2021-12-02,复星医药亮相首届BEYOND国际科技创新博览会 展示创新驱动医疗健康产业生态布局,中金在线
2021-12-02,复星医药：12月7日召开股东大会,Wind
2021-12-02,复星医药投资成立创业投资管理合伙企业，持股65.60%,搜狐
2021-12-02,复星医药：增持计划届满 获控股股东9.67亿人民币增持2793.05万股H股,财华社
2021-12-02,复星医药参股成立创业投资管理合伙企业，持股65.6%,乐居财经
2021-12-02,港股盘前必读：腾讯控股拟向不少于25700位奖励人士授予441万股奖励,Wind
2021-12-01,【浙商医美】复锐医疗科技：股权激励计划通过，看好能量源医美王者发展空间,微信
2021-12-01,写意报告丨创新药的国际化与商业化研究,同写意
2021-12-01,复星医药：增持计划实施期限届满，累计增持2793.05万股H股,Wind
2021-12-01,【港股通】复星医药(02196)获复星高科技及复星国际累计增持2793.05万股H股,和讯
2021-12-01,复星医药(02196.HK)控股股东累计增持2793万股H股 增持计划期限届满,格隆汇
2021-12-01,复星高科技及其控股股东累计增持复星医药1.09%股份，增持计划期限届满,乐居财经
2021-12-01,复星医药(600196.SH)股东复星高科技及复星国际累计斥资约9.67亿元增持2793.05万股H股,智通财经
2021-12-01,复星医药(600196.SH)：增持期满 控股股东方面已累计增持2793.05万股H股,格隆汇
2021-12-01,融资客青睐6股，宋都股份买入占比高达39.16%,Wind
2021-11-30,复星医药的管理水平和回报水平高吗？,搜狐
2021-11-30,ATFX港股：奥米克戎来袭，康希诺、国药控股、复星医药受益,金融界
2021-11-30,新冠特效药不及预期，有效率下降至30%，影响多大,Wind
2021-11-29,医药行业周报：OMICRON成热议 CDMO和上游边际改善,新浪
2021-11-29,新冠检测概念股大涨！个股研发成色如何？这家公司研发投入占比仅0.0158%,北京商报
2021-11-29,医药股早间分化 复星医药早间获主力抢筹超亿元,第一财经
2021-11-29,解盘：股指震荡走高，锂电、储能、肺炎检测领涨,Wind
2021-11-29,今日港股生物医药板块持续走高，开拓药业等涨近11%,制药网
2021-11-29,医药生物行业创新药周报：OMICRON毒株异军来袭 新冠药物研发快速推进,新浪
2021-11-29,【异动股】复星医药(02196.HK)涨4.45%,财华社
2021-11-29,【行情】港股抗疫概念股普涨，开拓药业(09939.HK)涨10.8%，复星医药(02196.HK)涨6.73%，君实生物(01877.HK)涨5.9%，中国生物制药(01177.HK)涨3.56%，国,金十数据
2021-11-29,港股抗疫概念逆市大涨，开拓药业、康希诺生物一度涨超10%,Wind
2021-11-29,私募EB每周跟踪：可交换私募债跟踪,新浪
2021-11-29,智通港股早知道 | (11月29日)Omicron变异新冠病毒引担忧，烟草专卖法实施条例修改落地,智通财经
2021-11-29,门槛将大幅提高，互联网医疗行业告别“野蛮生长”,Wind
2021-11-28,复星医药VS沃森生物~花几分钟看下两个新冠疫苗企业的财务数据,深水财经社
2021-11-28,复星医药VS智飞生物~花2分钟看两个新冠疫苗企业背后的综合实力,深水财经社
